YEAR,Rainfall,Tmax,Tmean,Tmin,gLat,gLon,n_wells
2005,1183.95,30.388164383561644,24.455013698630136,19.821534246575343,12.0,77.5,3
2006,688.1,30.70668493150685,24.278465753424655,19.35504109589041,12.0,77.5,3
2007,921.4200000000001,30.71953424657534,24.44550684931507,19.428301369863014,12.0,77.5,3
2008,1008.71,30.20691256830601,23.892049180327867,19.028497267759565,12.0,77.5,3
2009,671.43,31.351780821917806,24.784520547945206,19.719534246575343,12.0,77.5,3
2010,987.93,30.81945205479452,24.834876712328764,20.148191780821918,12.0,77.5,3
2011,713.42,31.159780821917806,24.455589041095894,19.208000000000002,12.0,77.5,3
2012,573.81,32.2425956284153,25.33409836065574,19.924508196721312,12.0,77.5,3
2013,719.71,31.38490410958904,25.01695890410959,19.949287671232877,12.0,77.5,3
2014,632.47,31.733780821917808,25.165397260273974,19.97364383561644,12.0,77.5,3
2015,892.71,31.404273972602738,24.86309589041096,19.75654794520548,12.0,77.5,3
2016,512.3,32.92355191256831,25.81229508196721,20.13,12.0,77.5,3
2017,921.0600000000001,31.29813698630137,24.95813698630137,19.86717808219178,12.0,77.5,3
2018,635.48,32.044301369863014,25.213863013698628,19.829835616438356,12.0,77.5,3
2019,945.89,31.82241095890411,25.53750684931507,20.433479452054794,12.0,77.5,3
2020,914.98,31.169508196721313,25.061857923497268,20.20428961748634,12.0,77.5,3
2021,1347.2,30.080739726027396,24.269698630136986,19.74298630136986,12.0,77.5,3
2022,1215.92,30.057698630136986,24.17298630136986,19.55358904109589,12.0,77.5,3
2023,804.78,31.891698630136986,25.215808219178083,19.987123287671235,12.0,77.5,3
2024,1114.77,31.693934426229507,25.53926229508197,20.642049180327867,12.0,77.5,3
2025,797.42,31.1973698630137,24.74731506849315,19.831260273972603,12.0,77.5,3
